Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
78.25,78.25,78.125,78.125
78.25,78.25,78,78.15
78.25,78.25,78,78.1666666666667
78,78.1873931884766,78,78.1428571428571
78,78.1498031616211,78,78.125
78,78.1247253417969,78,78.1071428571429
78.25,78.1427383422852,78.125,78.0714285714286
78.25,78.1562652587891,78.25,78.0357142857143
78,78.1387100219727,78.25,78.0357142857143
78,78.124641418457,78.25,78.0714285714286
78,78.1131134033203,78.25,78.1071428571429
78,78.1034927368164,78.25,78.1428571428571
78,78.0953369140625,78.25,78.1428571428571
78.25,78.1067047119141,78.25,78.1428571428571
78.25,78.1165771484375,78.25,78.1785714285714
78.25,78.1252365112305,78.25,78.2142857142857
78.5,78.1482391357422,78.25,78.25
78.5,78.1687393188477,78.25,78.25
78.25,78.1732482910156,78.25,78.25
78.25,78.1773223876953,78.25,78.25
78.25,78.1810150146484,78.25,78.25
78.25,78.1843795776367,78.25,78.25
78,78.1757125854492,78.25,78.25
78.25,78.179084777832,78.25,78.2142857142857
78.25,78.1821899414062,78.25,78.1785714285714
78,78.1744537353516,78.25,78.1071428571429
78.25,78.1775665283203,78.25,78.0714285714286
78.25,78.1804656982422,78.125,78.0714285714286
77.5,78.1539688110352,78,78.0714285714286
77.75,78.1386413574219,78,78.0357142857143
77.75,78.1242523193359,78,78
78,78.119758605957,78,77.9642857142857
78.25,78.1243667602539,78,77.8928571428571
78,78.1200637817383,78,77.8571428571429
78,78.1159896850586,78,77.8928571428571
78,78.1121292114258,78,77.9285714285714
77.75,78.1002960205078,78,77.9642857142857
77.75,78.0890426635742,78,78
77.75,78.0783309936523,78,77.9642857142857
78,78.0758972167969,78,77.9285714285714
78,78.0735702514648,78,77.8928571428571
78.25,78.0788955688477,78,77.8928571428571
78.25,78.0839920043945,78,77.8928571428571
78,78.0815277099609,78,77.8928571428571
77.75,78.071907043457,78,77.9285714285714
77.75,78.0626754760742,78,77.9166666666667
78,78.0608978271484,77.875,77.9285714285714
77.75,78.0521850585938,78,77.875
77.75,78.0438003540039,78,77.85
78,78.042594909668,78,77.8125
