Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
79.75,79.75,79.75,79.75
80.25,80.0000610351562,79.75,79.75
80,80.0000381469727,79.75,79.75
79.75,79.9374160766602,79.75,79.7857142857143
79.5,79.8496704101562,79.75,79.7916666666667
79.5,79.7911224365234,79.75,79.8214285714286
79.75,79.7852096557617,79.75,79.8214285714286
79.75,79.7807693481445,79.75,79.75
80,79.8054046630859,79.75,79.6785714285714
79.75,79.7997817993164,79.75,79.6071428571429
80,79.8182983398438,79.625,79.5714285714286
79.75,79.8124847412109,79.5,79.5
79.25,79.7681427001953,79.375,79.4285714285714
79.25,79.7300567626953,79.25,79.3571428571429
79,79.6797561645508,79.25,79.2857142857143
79,79.6356430053711,79.25,79.1785714285714
79,79.5966262817383,79.25,79.1428571428571
79.25,79.5764236450195,79.125,79.1071428571429
79.25,79.5583038330078,79,79.0714285714286
79.25,79.5419464111328,79,79.0357142857143
79,79.514404296875,79,79.0357142857143
79,79.4892959594727,79,79.0357142857143
79,79.4663009643555,79,79.0357142857143
79,79.4451599121094,79,79
79,79.4256439208984,79,79
79,79.4075775146484,79,79
79,79.3907928466797,79,79
79,79.3751525878906,79,79
79,79.3605422973633,79,79
79,79.3468627929688,79,79
79,79.3340225219727,79,79
79,79.3219451904297,79,79
79,79.3105621337891,79,79
79.25,79.308464050293,79,79
79,79.2979965209961,79,79
79,79.2880783081055,79,79
79,79.2786636352539,79,79
79,79.2697143554688,79,79
79,79.2611923217773,79,79
79,79.2530746459961,79,79
79,79.2453231811523,79,79
79,79.2379150390625,79,79
79,79.2308349609375,79,79
79,79.2240524291992,79,79
79,79.2175521850586,79,79
79,79.2113189697266,79,79
79,79.2053298950195,79,79.0357142857143
79.25,79.2065811157227,79,79.0416666666667
79.25,79.2077865600586,79,79.05
79,79.2020797729492,79,79.0625
