Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
95.25,95.25,95.375,95
95.25,95.25,95.5,95.15
94,94.8329849243164,95.625,95.25
94,94.6243743896484,95.75,95.3214285714286
95.5,94.8000259399414,95.625,95.375
95.75,94.9590759277344,95.75,95.4285714285714
95.75,95.0727996826172,95.75,95.5
96,95.1897125244141,95.75,95.6071428571429
95.75,95.2526702880859,95.625,95.7142857142857
94.75,95.2016906738281,95.5,95.7857142857143
95.75,95.2524032592773,95.5,95.8928571428571
96.5,95.3585510253906,95.5,95.8571428571429
96.25,95.428825378418,95.5,95.7857142857143
95.5,95.4340591430664,95.5,95.6071428571429
96,95.4730529785156,95.5,95.4642857142857
96.25,95.5234756469727,95.375,95.4285714285714
95.25,95.5066909790039,95,95.1785714285714
94.75,95.4625930786133,94.75,94.8214285714286
94,95.3813934326172,94.625,94.4285714285714
94.5,95.3346405029297,94.25,94.1071428571429
93.75,95.2541046142578,93.875,93.8214285714286
93,95.1440658569336,93.75,93.6071428571429
93.25,95.055046081543,93.75,93.4285714285714
93.25,94.9731979370117,93.75,93.3214285714286
93,94.8867034912109,93.75,93.3214285714286
93.25,94.8172225952148,93.75,93.3214285714286
93.25,94.7526779174805,93.75,93.3214285714286
93.25,94.6925430297852,93.75,93.3571428571429
93.25,94.6363754272461,93.75,93.4285714285714
93.75,94.6027450561523,93.625,93.5
93.75,94.571174621582,93.5,93.5714285714286
93.75,94.5414810180664,93.375,93.6785714285714
93.5,94.5046463012695,93.375,93.75
94,94.487174987793,93.375,93.75
93.75,94.462158203125,93.375,93.75
94,94.44677734375,93.375,93.7142857142857
94,94.4321746826172,93.375,93.6428571428571
93.75,94.4102630615234,93.375,93.5714285714286
93.5,94.3815078735352,93.375,93.5357142857143
93.25,94.3463287353516,93.375,93.4285714285714
93.25,94.3127593994141,93.25,93.3214285714286
93.25,94.2806854248047,93.25,93.25
93,94.242561340332,93.25,93.1785714285714
93.25,94.2134017944336,93.25,93.1785714285714
93,94.1781997680664,93.25,93.1428571428571
93,94.1444244384766,93.25,93.125
93.25,94.1190795898438,93.25,93.1071428571429
93,94.0877075195312,93.25,93.0833333333333
93.25,94.0644683837891,93.25,93.1
93,94.0352325439453,93.25,93.0625
