Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
77.75,77.75,78.375,78.25
78.5,78.1250915527344,78.5,78.25
78.5,78.2501678466797,78.5,78.2916666666667
78.25,78.2501220703125,78.5,78.3214285714286
78,78.199951171875,78.5,78.375
78.25,78.2083282470703,78.5,78.3928571428571
78.25,78.2143173217773,78.5,78.4285714285714
78.5,78.2503356933594,78.5,78.4285714285714
78.5,78.2783889770508,78.5,78.4642857142857
78.5,78.3008651733398,78.5,78.5
78.5,78.3192825317383,78.5,78.5357142857143
78.75,78.3559265136719,78.5,78.5357142857143
78.75,78.3869934082031,78.5,78.5714285714286
78.75,78.4136734008789,78.5,78.5714285714286
78.5,78.4196243286133,78.5,78.5714285714286
78.5,78.4248428344727,78.5,78.6071428571429
78.5,78.4294586181641,78.5,78.6071428571429
78.75,78.4481430053711,78.5,78.5714285714286
78.5,78.4510192871094,78.5,78.5357142857143
78.5,78.4536209106445,78.5,78.5
78.75,78.4686813354492,78.5,78.5
78.5,78.4702072143555,78.5,78.5
78.25,78.4598541259766,78.5,78.4642857142857
78.25,78.4503402709961,78.5,78.4642857142857
78.5,78.4525146484375,78.5,78.4642857142857
78.5,78.4545288085938,78.5,78.4642857142857
78.5,78.4563980102539,78.5,78.4285714285714
78.25,78.4481353759766,78.5,78.4285714285714
78.5,78.4501571655273,78.5,78.4642857142857
78.5,78.4520492553711,78.5,78.4642857142857
78.5,78.4538269042969,78.5,78.4285714285714
78.25,78.4464569091797,78.5,78.4285714285714
78.5,78.4483489990234,78.5,78.4285714285714
78.5,78.4501342773438,78.5,78.4642857142857
78.25,78.4433441162109,78.5,78.4285714285714
78.25,78.4369049072266,78.5,78.4285714285714
78.5,78.43896484375,78.5,78.3928571428571
78.5,78.4409255981445,78.5,78.4285714285714
78.5,78.4427947998047,78.5,78.3928571428571
78.25,78.4367980957031,78.5,78.3928571428571
78.5,78.4387359619141,78.5,78.3928571428571
78.25,78.4330368041992,78.5,78.4285714285714
78.5,78.4350280761719,78.5,78.3928571428571
78.25,78.4295883178711,78.5,78.3928571428571
78.5,78.4316329956055,78.375,78.3571428571429
78.25,78.4264297485352,78.5,78.375
78.5,78.4285125732422,78.5,78.3571428571429
78.25,78.4235076904297,78.5,78.375
78.5,78.4256286621094,78.375,78.35
78.25,78.4208068847656,78.25,78.375
