Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
84.75,84.75,84.625,84.75
84.75,84.75,84.5,84.7
84.75,84.75,84.5,84.6666666666667
84.75,84.75,84.5,84.6428571428571
84.75,84.75,84.5,84.625
84.5,84.7081451416016,84.5,84.6071428571429
84.25,84.6422729492188,84.5,84.5714285714286
84.5,84.6243362426758,84.5,84.5357142857143
84.5,84.6103668212891,84.5,84.4642857142857
84.5,84.5991744995117,84.5,84.4642857142857
84.5,84.5900039672852,84.5,84.4642857142857
84.5,84.5823440551758,84.5,84.4642857142857
84.25,84.5561447143555,84.5,84.5
84.25,84.5336456298828,84.5,84.5
84.5,84.5313262939453,84.5,84.5
84.5,84.529296875,84.5,84.5
84.5,84.5274963378906,84.5,84.5
84.5,84.5258941650391,84.5,84.5357142857143
84.75,84.5383377075195,84.5,84.5714285714286
84.5,84.5363006591797,84.5,84.6071428571429
84.5,84.5344543457031,84.625,84.6428571428571
84.75,84.5449752807617,84.75,84.7142857142857
84.75,84.5546112060547,84.75,84.7857142857143
84.75,84.5634689331055,84.75,84.8571428571429
85,84.5826034545898,84.875,84.8928571428571
85,84.6003265380859,85,84.9285714285714
85,84.6167831420898,85,84.9642857142857
85,84.6321182250977,85,85
85,84.6464462280273,85,85
85,84.6598587036133,85,85
85,84.6724472045898,85,85
85,84.6842956542969,85,85
85,84.6954574584961,85,84.9642857142857
85,84.7060012817383,85,84.9285714285714
85,84.7159805297852,85,84.8928571428571
84.75,84.7171096801758,84.875,84.8571428571429
84.75,84.7181854248047,84.75,84.8214285714286
84.75,84.7192077636719,84.75,84.7857142857143
84.75,84.7201766967773,84.75,84.75
84.75,84.7211074829102,84.75,84.75
84.75,84.7219924926758,84.75,84.7142857142857
84.75,84.7228393554688,84.75,84.6785714285714
84.75,84.7236480712891,84.75,84.6071428571429
84.5,84.7170791625977,84.75,84.5714285714286
84.5,84.7107849121094,84.75,84.5357142857143
84.25,84.6975784301758,84.75,84.5
84.25,84.6848907470703,84.625,84.4642857142857
84.25,84.6726989746094,84.5,84.4166666666667
84.5,84.6679077148438,84.5,84.4
84.5,84.6632995605469,84.5,84.375
