Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
78.75,78.75,78.75,78.75
78.75,78.75,78.75,78.75
78.75,78.75,78.75,78.75
78.75,78.75,78.75,78.75
78.75,78.75,78.75,78.75
78.75,78.75,78.75,78.75
78.75,78.75,78.75,78.75
78.75,78.75,78.75,78.75
79,78.7780914306641,78.75,78.75
78.75,78.7752456665039,78.75,78.75
78.75,78.7729110717773,78.75,78.75
78.75,78.7709655761719,78.75,78.75
78.75,78.7693099975586,78.75,78.75
78.75,78.7678909301758,78.75,78.75
78.75,78.7666549682617,78.75,78.75
78.75,78.7655715942383,78.75,78.75
78.75,78.7646179199219,78.75,78.75
78.75,78.7637634277344,78.75,78.75
78.75,78.7630004882812,78.75,78.7857142857143
78.75,78.7623138427734,78.75,78.8214285714286
78.75,78.7616882324219,78.75,78.8571428571429
79,78.773323059082,78.75,78.8571428571429
79.25,78.7957229614258,78.75,78.8571428571429
79,78.8049850463867,78.75,78.8571428571429
79,78.8135299682617,78.75,78.8571428571429
79,78.8214492797852,78.75,78.8571428571429
78.75,78.8185043334961,78.75,78.8571428571429
78.5,78.8057556152344,78.75,78.8214285714286
78.75,78.803581237793,78.75,78.7857142857143
78.75,78.8015518188477,78.75,78.75
78.75,78.7996444702148,78.75,78.75
78.75,78.7978515625,78.75,78.75
78.75,78.7961578369141,78.75,78.75
78.75,78.794563293457,78.75,78.75
78.75,78.7930526733398,78.75,78.75
79,78.7999420166016,78.75,78.75
78.75,78.7983093261719,78.75,78.75
78.75,78.796760559082,78.75,78.75
78.75,78.795280456543,78.75,78.75
78.75,78.7938690185547,78.75,78.75
78.75,78.7925262451172,78.75,78.7142857142857
78.75,78.7912445068359,78.75,78.7142857142857
78.75,78.7900161743164,78.75,78.6785714285714
78.5,78.781494140625,78.75,78.6785714285714
78.5,78.7733306884766,78.75,78.6785714285714
78.5,78.765495300293,78.75,78.6666666666667
78.75,78.7650527954102,78.75,78.6428571428571
78.5,78.7576217651367,78.75,78.625
78.75,78.7574081420898,78.75,78.6
78.75,78.7572021484375,78.75,78.625
