Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
87,87,87,86.9375
87,87,87,86.9
87,87,87,86.9166666666667
87,87,87,86.9642857142857
86.75,86.9498519897461,87.125,87
86.75,86.916389465332,87.25,87.0357142857143
86.75,86.892463684082,87.25,87.0714285714286
87.25,86.9375457763672,87.25,87.1071428571429
87.25,86.97265625,87.25,87.1428571428571
87.25,87.0007858276367,87.25,87.1785714285714
87.25,87.0238342285156,87.25,87.3214285714286
87.25,87.0430755615234,87.25,87.4285714285714
87.25,87.0593872070312,87.25,87.5714285714286
87.75,87.1101455688477,87.5,87.6785714285714
88,87.1714630126953,87.875,87.7857142857143
88.75,87.2739105224609,88,88
88.75,87.3645172119141,88,88.2142857142857
88.25,87.4161224365234,88,88.3571428571429
88,87.4485397338867,88,88.4285714285714
88,87.4777908325195,88,88.4285714285714
88.75,87.5424499511719,88,88.4285714285714
89.25,87.6258087158203,88,88.3214285714286
88.75,87.6786422729492,88,88.2142857142857
88.5,87.7158889770508,88,88.1785714285714
88,87.7283401489258,88,88.1428571428571
87.75,87.7292633056641,88,88.1071428571429
88,87.7404098510742,88,87.9642857142857
87.75,87.7407913208008,87.875,87.8214285714286
88,87.7508850097656,87.75,87.7142857142857
87.75,87.7508544921875,87.75,87.6071428571429
87.5,87.741569519043,87.625,87.5
87.25,87.7237930297852,87.375,87.4285714285714
87.25,87.7070388793945,87.25,87.3571428571429
87.25,87.6912155151367,87.25,87.2857142857143
87.25,87.6762466430664,87.25,87.25
87.25,87.6620559692383,87.25,87.25
87.25,87.6485900878906,87.25,87.25
87.25,87.6357879638672,87.25,87.25
87.25,87.6236038208008,87.25,87.25
87.25,87.6119918823242,87.25,87.25
87.25,87.6009063720703,87.25,87.25
87.25,87.5903167724609,87.25,87.2857142857143
87.25,87.5801849365234,87.25,87.2857142857143
87.25,87.5704879760742,87.25,87.2857142857143
87.5,87.5684432983398,87.25,87.3214285714286
87.5,87.5664825439453,87.25,87.3333333333333
87.5,87.5645980834961,87.25,87.3571428571429
87.25,87.555778503418,87.25,87.375
87.25,87.5472946166992,87.25,87.4
87.5,87.5459976196289,87.25,87.4375
