Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
89.5,89.5,88.25,86.75
88.5,88.9998779296875,88,87.3
86.75,88.2492904663086,87.375,87.4166666666667
86.5,87.8112030029297,86.75,87.6785714285714
85.25,87.2974243164062,86.75,88.0833333333333
85.25,86.9546279907227,86.75,87.8571428571429
90.5,87.4643936157227,86.75,87.2857142857143
88,87.5319290161133,86.75,86.9642857142857
89.25,87.724983215332,86.625,86.9642857142857
89.5,87.9050064086914,86.5,86.9642857142857
86.5,87.7750549316406,86.5,87.1785714285714
85.5,87.5814895629883,86.5,87.1785714285714
86.25,87.4765243530273,86.5,86.75
86.75,87.4231262207031,86.5,86.5
86.5,87.3595199584961,86.5,86.2857142857143
87,87.3361892700195,86.625,86.1428571428571
86.25,87.2695159912109,86.875,86.1785714285714
86.25,87.2100982666016,86.625,86.3928571428571
85,87.08740234375,86.5,86.75
84.5,86.9501571655273,86.5,86.8928571428571
85.75,86.88916015625,86.375,87.0357142857143
90.25,87.0532302856445,86.25,86.9642857142857
91,87.2387237548828,86.25,86.8928571428571
88.75,87.3072509765625,86.25,86.8214285714286
87.75,87.32666015625,86,86.8214285714286
87.5,87.3340225219727,85.75,86.8214285714286
86.5,87.299674987793,85.75,86.7142857142857
85.75,87.237663269043,85.75,86.1785714285714
85.75,87.1797332763672,85.75,85.7857142857143
84.75,87.0875396728516,86.125,85.5357142857143
84.75,87.0010070800781,86.5,85.5357142857143
85,86.9286422729492,86.75,85.5357142857143
85,86.8604354858398,86.75,85.5357142857143
85,86.7960205078125,86.75,85.7142857142857
85.75,86.7605285644531,86.75,85.9285714285714
86.5,86.7518539428711,86.75,86.25
87,86.7599639892578,86.75,86.6071428571429
87.5,86.7837295532227,86.75,86.9285714285714
87.25,86.798454284668,86.75,87.1785714285714
87.25,86.8124923706055,86.75,87.25
87.5,86.8335418701172,86.75,87.25
88,86.8687515258789,87,87.25
87.25,86.8801040649414,87,87.25
87.75,86.9056625366211,87,87.1071428571429
87,86.9084014892578,87,86.75
87,86.9110260009766,87,86.6666666666667
86.5,86.8993759155273,87.125,86.3571428571429
84.75,86.8391265869141,87.25,86.125
84.25,86.7673034667969,87.125,85.9
84.25,86.6981658935547,87,85.625
