Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
80.75,80.75,81,81
81,80.8750305175781,81,81
81,80.9167251586914,81,81.0416666666667
81,80.9375839233398,81,81.0357142857143
81,80.9501037597656,81,81
81,80.9584579467773,81,81
81.25,81.000373840332,81,81
81.25,81.031852722168,81,81
81,81.0282745361328,81,81
81,81.0254058837891,81,81
81,81.0230560302734,81,81
80.75,80.9998245239258,81,80.9642857142857
80.75,80.9801330566406,81,80.9642857142857
81,80.9815902709961,81,80.9642857142857
81,80.9828567504883,81,80.9285714285714
81,80.9839706420898,81,80.9285714285714
80.75,80.969612121582,81,80.9285714285714
81,80.9713821411133,81,80.9642857142857
81,80.9729690551758,81,81
80.75,80.9611434936523,81,81
81,80.9631195068359,81,80.9642857142857
81.25,80.9771270751953,81,80.9285714285714
81,80.9782028198242,81,80.9642857142857
81,80.9791946411133,81,80.9642857142857
81,80.980110168457,81,80.9285714285714
80.75,80.970344543457,81,80.9642857142857
80.75,80.9612731933594,81,80.9642857142857
81,80.9628219604492,81,80.9285714285714
81,80.9642715454102,80.875,80.8928571428571
80.75,80.9561386108398,80.75,80.8571428571429
81,80.957763671875,80.75,80.8214285714286
81,80.9592895507812,80.75,80.8214285714286
80.75,80.9518890380859,80.75,80.8214285714286
80.5,80.9362411499023,80.75,80.7857142857143
80.75,80.9299240112305,80.75,80.7142857142857
80.5,80.9156112670898,80.75,80.6785714285714
80.75,80.9102020263672,80.75,80.6785714285714
80.75,80.9050598144531,80.75,80.6428571428571
80.75,80.9001617431641,80.75,80.6071428571429
80.5,80.8877182006836,80.625,80.6428571428571
80.5,80.875846862793,80.5,80.6071428571429
80.75,80.8720474243164,80.5,80.6071428571429
80.5,80.860969543457,80.5,80.5714285714286
80.5,80.8503646850586,80.5,80.5357142857143
80.75,80.8474502563477,80.5,80.5
80.5,80.8374938964844,80.5,80.5
80.5,80.8279266357422,80.5,80.5357142857143
80.5,80.818733215332,80.5,80.5
80.5,80.8098907470703,80.5,80.5
80.5,80.8013763427734,80.5,80.5
