Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
79.75,79.75,79,79.3125
79.75,79.75,79,79.2
79.5,79.6665954589844,79,79.25
79,79.4996566772461,79,79.1785714285714
78.75,79.3492736816406,79,79.0833333333333
79,79.2907943725586,79,79.1785714285714
78.75,79.2130355834961,79,79.0714285714286
79.5,79.2492218017578,79,79
78.75,79.1931228637695,79,78.9285714285714
78.75,79.1481781005859,79,78.9285714285714
79.75,79.2038421630859,79,79.0357142857143
79,79.1865005493164,79,79
79,79.1717987060547,79,79.1428571428571
79,79.1591720581055,79,79.0357142857143
79,79.1482009887695,79,79.0714285714286
79.75,79.187255859375,79,79.0714285714286
78.75,79.1604156494141,79,79
79.75,79.1947784423828,79,78.9642857142857
78.75,79.1700897216797,79,79.0714285714286
79,79.1610641479492,79,79.1785714285714
78.75,79.1401748657227,79,79.2857142857143
79.25,79.1455383300781,79,79.2857142857143
78.75,79.1269454956055,79,79.2857142857143
79.75,79.1551971435547,79.125,79.2857142857143
79.75,79.1812744140625,79.375,79.2857142857143
79.75,79.2054214477539,79.375,79.25
79.75,79.2278518676758,79.375,79.3571428571429
78.75,79.2087326049805,79.375,79.3928571428571
79.75,79.2298126220703,79.125,79.5357142857143
78.75,79.2116088867188,79.125,79.3928571428571
78.75,79.1945190429688,79.125,79.3928571428571
79.5,79.20556640625,79.125,79.2857142857143
79.5,79.2159805297852,79,79.1428571428571
79.75,79.2344741821289,79.25,79.1785714285714
78.75,79.2180328369141,79.25,79.0714285714286
79.75,79.2357406616211,79.25,79.0714285714286
79,79.2280349731445,79.25,79.0714285714286
78.75,79.2126846313477,79.25,79.1071428571429
79,79.2059631347656,79.25,79.1428571428571
79,79.1995620727539,79.25,79.1428571428571
78.75,79.1857986450195,79.375,79.2857142857143
78.75,79.1726455688477,79.5,79.2857142857143
79.75,79.1898345947266,79.375,79.2857142857143
79.75,79.2062911987305,79.25,79.4285714285714
79.75,79.2220687866211,79.125,79.4642857142857
79.75,79.2372055053711,79.25,79.5416666666667
79.75,79.2517395019531,79.125,79.5714285714286
79,79.2446823120117,79.25,79.6666666666667
79.75,79.2586975097656,79.5,79.65
79.25,79.2584609985352,79.75,79.625
