Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
78.5,78.5,78.5,78.5625
78.5,78.5,78.5,78.55
78.75,78.5834045410156,78.625,78.5
79,78.6877365112305,78.5,78.5714285714286
78.25,78.5999298095703,78.625,78.5833333333333
78.5,78.5831985473633,78.5,78.6428571428571
78.5,78.5712356567383,78.625,78.7142857142857
78.25,78.5307312011719,78.5,78.7142857142857
79,78.5834579467773,78.5,78.75
78.75,78.6003494262695,78.5,78.6785714285714
79,78.6373138427734,78.625,78.75
79,78.6681747436523,78.625,78.75
78.5,78.654914855957,78.75,78.75
79,78.6802825927734,78.875,78.8214285714286
78.5,78.6678619384766,78.625,78.8214285714286
79,78.6894149780273,78.75,78.7857142857143
78.25,78.6624450683594,78.875,78.7857142857143
78.5,78.6529769897461,78.875,78.7857142857143
79,78.6722412109375,79,78.75
79,78.6896286010742,78.875,78.7142857142857
78.25,78.6672821044922,78.875,78.7857142857143
79,78.6835250854492,78.625,78.7142857142857
79,78.6984024047852,78.625,78.8214285714286
78.25,78.6780700683594,78.625,78.8214285714286
78.75,78.6812210083008,78.5,78.75
79,78.6947555541992,78.625,78.6785714285714
78.5,78.6867370605469,78.5,78.75
79,78.6992721557617,78.625,78.6785714285714
78.5,78.6915130615234,78.75,78.6071428571429
78.5,78.6842498779297,78.625,78.6785714285714
78.5,78.6774291992188,78.625,78.6428571428571
79,78.689094543457,78.75,78.6428571428571
78.5,78.6824035644531,78.625,78.6785714285714
78.5,78.6760864257812,78.625,78.6071428571429
79,78.6870803833008,78.75,78.6785714285714
78.25,78.6725311279297,78.625,78.75
79,78.683235168457,78.5,78.75
78.75,78.6853790283203,78.625,78.75
78.5,78.6795272827148,78.625,78.8214285714286
79,78.6894912719727,78.625,78.8214285714286
79,78.6989974975586,78.625,78.75
78.5,78.6929931640625,78.75,78.7857142857143
79,78.7021331787109,78.625,78.7857142857143
79,78.7108840942383,78.75,78.75
78.5,78.7047653198242,78.75,78.75
78.25,78.6917266845703,78.75,78.7083333333333
78.75,78.6933746337891,78.75,78.6428571428571
79,78.7019729614258,78.75,78.6666666666667
78.25,78.6894378662109,78.625,78.6
78.5,78.6842346191406,78.75,78.5
