Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
79.25,79.25,79.125,79.25
79.25,79.25,79.25,79.2
79.25,79.25,79.25,79.1666666666667
79,79.1873931884766,79.25,79.1428571428571
79.25,79.199951171875,79.125,79.125
79.25,79.2083282470703,79,79.1428571428571
79,79.1783752441406,79,79.1428571428571
79,79.1558837890625,79,79.1071428571429
79,79.1383666992188,79,79.0714285714286
79,79.1243362426758,79,79.0714285714286
79.25,79.1359558105469,79,79.0357142857143
79.25,79.1456604003906,79,79
79,79.1341781616211,79,79
79,79.1243133544922,79,79
79,79.1157455444336,79,79
79,79.1082305908203,79,79
79,79.1015853881836,79,79
79,79.0956649780273,79,79
79,79.0903549194336,79,79
79,79.085563659668,79,79
79,79.0812149047852,79,79
79,79.0772476196289,79,79
79,79.073616027832,79,79
79,79.0702743530273,79,79
79,79.0671920776367,79,79
78.75,79.0537261962891,79,79
79,79.051513671875,79,79
79,79.0494537353516,79,79
79,79.0475311279297,79,79
79,79.0457305908203,79,79
79,79.0440368652344,79,78.9642857142857
79,79.0424423217773,79,79
79,79.0409393310547,79,79
78.75,79.0308685302734,79,79
79,79.0298233032227,79,78.9642857142857
78.75,79.0205078125,79,78.9285714285714
79,79.0198364257812,79,78.8928571428571
79,79.0191955566406,79,78.8571428571429
79,79.0185928344727,79,78.8214285714286
78.75,79.0102462768555,79,78.8571428571429
78.75,79.0022735595703,79,78.8571428571429
78.75,78.9946594238281,79,78.9285714285714
78.75,78.9873733520508,79,78.9642857142857
78.75,78.9804000854492,79,78.9285714285714
79.25,78.9882202148438,79,78.9285714285714
79.25,78.9957275390625,79,78.9583333333333
79.25,79.0029373168945,79,79
79.25,79.0098648071289,79,79.0416666666667
78.75,79.0026550292969,78.875,79.1
79,79.0025787353516,78.75,79.1875
