Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
81.5,81.5,81.5,81.5
81.5,81.5,81.5,81.5
81.5,81.5,81.5,81.4583333333333
81.5,81.5,81.5,81.4642857142857
81.5,81.5,81.5,81.5
81.5,81.5,81.5,81.4642857142857
81.25,81.4640502929688,81.5,81.4285714285714
81.25,81.4370574951172,81.5,81.3928571428571
81.5,81.4441299438477,81.5,81.3571428571429
81.5,81.4497985839844,81.5,81.3571428571429
81.25,81.4313201904297,81.375,81.3571428571429
81.25,81.4158935546875,81.25,81.3214285714286
81.25,81.4028167724609,81.25,81.3214285714286
81.25,81.3915863037109,81.25,81.3214285714286
81.5,81.399055480957,81.25,81.2857142857143
81.5,81.4056091308594,81.25,81.25
81.25,81.3960571289062,81.25,81.25
81.25,81.3875427246094,81.25,81.25
81.25,81.3799057006836,81.25,81.25
81.25,81.3730163574219,81.25,81.25
81.25,81.3667678833008,81.25,81.25
81.25,81.3610687255859,81.25,81.25
81.25,81.3558502197266,81.25,81.25
81.25,81.3510513305664,81.25,81.25
81.25,81.3466186523438,81.25,81.25
81.25,81.3425140380859,81.25,81.25
81.25,81.3387069702148,81.25,81.25
81.25,81.3351593017578,81.25,81.25
81.25,81.3318405151367,81.25,81.25
81.25,81.3287353515625,81.25,81.2142857142857
81.25,81.3258209228516,81.25,81.1785714285714
81.25,81.3230819702148,81.25,81.1428571428571
81,81.311653137207,81.25,81.1428571428571
81,81.3008651733398,81.25,81.1428571428571
81,81.290657043457,81.25,81.1428571428571
81,81.2809829711914,81.25,81.1428571428571
81,81.2717971801758,81.25,81.1428571428571
81.25,81.2710952758789,81.25,81.1428571428571
81.25,81.2704315185547,81.25,81.1785714285714
81.25,81.2697982788086,81.25,81.2142857142857
81.25,81.2691955566406,81.25,81.25
81.25,81.2686157226562,81.25,81.25
81.25,81.2680587768555,81.25,81.25
81.25,81.2675247192383,81.25,81.25
81.25,81.2670135498047,81.25,81.25
81.25,81.2665252685547,81.25,81.25
81.25,81.2660598754883,81.25,81.25
81.25,81.2656097412109,81.25,81.25
81.25,81.2651748657227,81.25,81.25
81.25,81.2647552490234,81.25,81.25
