Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
93.75,93.75,93.75,93.75
93.75,93.75,93.75,93.75
93.75,93.75,93.625,93.7083333333333
93.75,93.75,93.75,93.6785714285714
93.75,93.75,93.75,93.6666666666667
93.75,93.75,93.75,93.6428571428571
93.5,93.7140502929688,93.75,93.6071428571429
93.5,93.6870574951172,93.75,93.6071428571429
93.25,93.6379470825195,93.75,93.6071428571429
93.5,93.6239547729492,93.75,93.6071428571429
93.25,93.5893630981445,93.75,93.6428571428571
93.5,93.5817565917969,93.75,93.7857142857143
93.75,93.5950164794922,93.75,94
94,93.6247863769531,93.875,94.25
94.75,93.7023162841797,94.25,94.4642857142857
95,93.7865371704102,94.5,94.6071428571429
95.25,93.8763732910156,94.625,94.7142857142857
95.5,93.9709930419922,94.75,94.8214285714286
95.5,94.0558776855469,94.75,94.8571428571429
95,94.10595703125,94.75,94.8928571428571
94.5,94.1259841918945,94.75,94.8928571428571
94.5,94.1442413330078,94.75,94.8571428571429
94.75,94.1727142333984,94.75,94.7857142857143
94.75,94.1988906860352,94.75,94.7142857142857
94.75,94.2230453491211,94.75,94.6785714285714
94.75,94.2454147338867,94.75,94.6785714285714
94.75,94.2661972045898,94.75,94.6785714285714
94.75,94.2855606079102,94.625,94.6785714285714
94.5,94.2939071655273,94.5,94.6428571428571
94.5,94.3017272949219,94.5,94.5714285714286
94.75,94.3183212280273,94.5,94.4642857142857
94.5,94.3248901367188,94.5,94.3571428571429
94.25,94.3222427368164,94.375,94.25
94,94.3110885620117,94.125,94.1785714285714
94,94.3005294799805,94,94.1071428571429
94,94.29052734375,94,94
94,94.2810287475586,94,93.8928571428571
94,94.2720031738281,94,93.8571428571429
93.25,94.2397232055664,94,93.75
93.5,94.2167282104492,94,93.7142857142857
93.75,94.2024383544922,94,93.6071428571429
93,94.166145324707,94,93.5714285714286
93.75,94.1537551879883,93.875,93.5714285714286
93.25,94.1272048950195,93.75,93.5714285714286
93.75,94.1162643432617,93.75,93.6785714285714
93.25,94.0914306640625,93.75,93.7083333333333
93.75,94.0817565917969,93.75,93.6785714285714
94,94.0794677734375,93.75,93.75
94,94.077262878418,93.75,93.75
94.25,94.0820083618164,93.75,93.875
